regionId	label	referenceDate	lastUpdatedDate	totalDeaths	totalConfirmedCases	totalRecoveredCases	totalTestedCases	numPositiveTests	numDeaths	numRecoveredCases	diffNumPositiveTests	diffNumDeaths	avgWeeklyDeaths	avgWeeklyConfirmedCases	avgWeeklyRecoveredCases	dataSource
Abruzzo	Abruzzo	2020-03-15		3	137	6	1419	25	1	2	2	1	0.43	17.14	0.86	http://www.salute.gov.it/
Afghanistan	Afghanistan	2020-03-15		0	16			6	0	0	3	0	0.0	1.71		https://www.who.int/
Alabama	Alabama	2020-03-15		0	23											https://covid19.alabama.gov/
Albania	Albania	2020-03-15		1	42			4	0	0	-1	0				https://www.who.int/
Algeria	Algeria	2020-03-15		3	49			12	0	0	0	-1	0.43	4.57		https://www.who.int/
Andalusia	Andalusia	2020-03-15	2020-05-15T10:56:53.000Z	7	554	0		117	1	0	-51	-3	1.0	71.43	-1.57	https://www.mscbs.gob.es/
Andorra	Andorra	2020-03-15		0	2			0	0		0	0	0.0	0.14		https://www.who.int/
Antigua_and_Barbuda	Antigua and Barbuda	2020-03-15	2020-05-16T11:41:18.000Z	0	1			0	0	0	0	0				https://www.ecdc.europa.eu/
Antwerp_Province	Antwerp Province	2020-03-15	2020-03-15		220			24			3			24.0		https://epistat.wiv-isp.be/Covid/
Aosta_Valley	Aosta Valley	2020-03-15		1	57	0	230	15	0	0	1	0	0.14	6.86	0.0	http://www.salute.gov.it/
Apulia	Apulia	2020-03-15		16	230	2	2017	64	8	0	27	5	1.86	27.14	0.14	http://www.salute.gov.it/
Aragon	Aragon	2020-03-15	2020-05-15T10:56:53.000Z	11	147	0		26	4	0	-15	4	1.14	20.0		https://www.mscbs.gob.es/
Argentina	Argentina	2020-03-15		2	56			11	0	0	11	-1	0.14	6.29		https://www.who.int/
Arizona	Arizona	2020-03-15		0	13											https://azdhs.gov/
Arkansas	Arkansas	2020-03-15		0	15											https://www.healthy.arkansas.gov/
Armenia	Armenia	2020-03-15		0	26			13	0	0	8	0	0.0	3.57		https://www.who.int/
Asturias	Asturias	2020-03-15	2020-05-15T10:56:53.000Z	1	190	3		45	0	2	0	0	0.14	25.71		https://www.mscbs.gob.es/
Australia	Australia	2020-03-15		5	298			101	0	0	93	0	0.29	31.57		https://www.who.int/
Austria	Austria	2020-03-15		1	860			205	0	0	54	0	0.14	108.29		https://www.who.int/
Azerbaijan	Azerbaijan	2020-03-15		0	21			2	0	0	-4	0	0.0	1.71		https://www.who.int/
Bahrain	Bahrain	2020-03-15		0	214			3	0	0	-13	0	0.0	19.29		https://www.who.int/
Balearic_Islands	Balearic Islands	2020-03-15	2020-05-15T10:56:53.000Z	1	73	1		31	0	0	17	0	0.14	8.86	-0.14	https://www.mscbs.gob.es/
Bangladesh	Bangladesh	2020-03-15	2020-05-16T11:41:18.000Z	0	3			0	0	0	0	0	0.0	0.0		https://www.ecdc.europa.eu/
Basilicata	Basilicata	2020-03-15		0	11	0	208	1	0	0	1	0	0.0	1.0	0.0	http://www.salute.gov.it/
Basque_Country_(autonomous_community)	Basque Country (autonomous community)	2020-03-15	2020-05-15T10:56:53.000Z	23	630	5		0	0	0	-109	-9	2.43	68.71	0.43	https://www.mscbs.gob.es/
Belarus	Belarus	2020-03-15		0	21			0	0		0	0	0.0	2.14		https://www.who.int/
Belgium	Belgium	2020-03-15		0	886			197	1	1	107	1	0.0	98.0		https://www.who.int/
Bhutan	Bhutan	2020-03-15	2020-05-16T11:41:18.000Z	0	1			0	0	0	0	0	0.0	0.0		https://www.ecdc.europa.eu/
Birmingham	Birmingham	2020-03-15	2020-05-14T13:44:03.000Z		55			12			5			7.29		https://www.gov.uk/
Bolivia	Bolivia	2020-03-15		0	11			1	0	0	-6	0				https://www.who.int/
Borough_of_Milton_Keynes	Borough of Milton Keynes	2020-03-15	2020-05-14T13:44:03.000Z		6			1			0					https://www.gov.uk/
Borough_of_Swindon	Borough of Swindon	2020-03-15	2020-05-14T13:44:03.000Z		5			1			-1					https://www.gov.uk/
Borough_of_Wokingham	Borough of Wokingham	2020-03-15	2020-05-14T13:44:03.000Z		12			2			0					https://www.gov.uk/
Bosnia_and_Herzegovina	Bosnia and Herzegovina	2020-03-15		0	19			8	0		8	0	0.0	2.43		https://www.who.int/
Bracknell_Forest	Bracknell Forest	2020-03-15	2020-05-14T13:44:03.000Z		4			1			-1					https://www.gov.uk/
Brazil	Brazil	2020-03-15		0	200			79	0	0	79	0	0.0	25.0		https://www.who.int/
