regionId	label	referenceDate	lastUpdatedDate	totalDeaths	totalConfirmedCases	totalRecoveredCases	totalTestedCases	numActiveCases	numDeaths	numRecoveredCases	numTests	dataSource
c637be1cf835c710a89f5c030c9252cb	Andaman and Nicobar Islands	2020-04-29	2020-04-28T11:30:00+0000	0	33	11			0			https://www.mohfw.gov.in/
037960597072204e989f671623e600aa	Andhra Pradesh	2020-04-29	2020-04-28T11:30:00+0000	31	1259	258			0			https://www.mohfw.gov.in/
bcff8ce79caeec8c56ee42633d4c9d77	Antofagasta	2020-04-29	2020-04-28T04:00:00+0000	4	481				0			https://www.minsal.cl/
00d864f2bc91e07edb48b7e3b4b2446e	Arica y Parinacota Region	2020-04-29	2020-04-28T04:00:00+0000	3	268				0			https://www.minsal.cl/
3e975ed48bcad18f8aaf761abb67d48b	Arunachal Pradesh	2020-04-29	2020-04-28T11:30:00+0000	0	1	1			0			https://www.mohfw.gov.in/
44e0325f3e4f2272ae44a4a675b527e6	Assam	2020-04-29	2020-04-28T11:30:00+0000	1	38	27			0			https://www.mohfw.gov.in/
1a1beb0199da97847b4c5aa96298790f	Atacama Region	2020-04-29	2020-04-28T04:00:00+0000	0	35				0			https://www.minsal.cl/
4442e4af0916f53a07fb8ca9a49b98ed	Australia	2020-04-29	2020-04-28T15:00:00	84	6731	5626	530000					https://www.health.gov.au/
7188ee817ff0ec57b9ed4987e2b9341d	Australian Capital Territory	2020-04-29	2020-04-28T05:00:00+0000		106							https://www.health.gov.au/
859a18bad84184d704fd68a8faeeea1a	Bay of Plenty	2020-04-29	2020-04-28T01:00:00+0000		47	37		10				https://www.health.govt.nz/
27559de2125101ccb786807bceb46aa1	Bihar	2020-04-29	2020-04-28T11:30:00+0000	2	346	57			0			https://www.mohfw.gov.in/
06c7a3c3a3344a62864b951aec4df830	Cambodia	2020-04-29	2020-04-28T00:00:00		122	119						http://www.cdcmoh.gov.kh/
33d760dd178036b714669c2766cadf1b	Chandigarh	2020-04-29	2020-04-28T11:30:00+0000	0	40	17			0			https://www.mohfw.gov.in/
98a0215e7384c0045229405845a76921	Chhattisgarh	2020-04-29	2020-04-28T11:30:00+0000	0	37	32			0			https://www.mohfw.gov.in/
2e6507f70a9cc26fb50f5fd82a83c7ef	Chile	2020-04-29	2020-04-28T04:00:00+0000	207	14365	7710			9			https://www.minsal.cl/
78aed43a7109dd496adfc5c8345cc336	Coquimbo Region	2020-04-29	2020-04-28T04:00:00+0000	0	74				0			https://www.minsal.cl/
9baaebe1759ba1a6365a2b0539081516	Delhi	2020-04-29	2020-04-28T11:30:00+0000	54	3108	877			0			https://www.mohfw.gov.in/
5cdd21c97f86686cc505e02fd32a7523	Earth	2020-04-29	2020-04-28T20:33:15.76	208392	3025858							https://github.com/yahoo/covid-19-data/blob/master/data-sources.md
