regionId	label	referenceDate	lastUpdatedDate	totalDeaths	totalConfirmedCases	totalRecoveredCases	totalTestedCases	numPositiveTests	numDeaths	numRecoveredCases	diffNumPositiveTests	diffNumDeaths	avgWeeklyDeaths	avgWeeklyConfirmedCases	avgWeeklyRecoveredCases	dataSource
Abruzzo	Abruzzo	2020-02-24		0	0	0	5				0					http://www.salute.gov.it/
Andalusia	Andalusia	2020-02-24	2020-06-10T19:42:35.000Z		0			0			0					https://www.mscbs.gob.es/
Aosta_Valley	Aosta Valley	2020-02-24		0	0	0	7				0					http://www.salute.gov.it/
Apulia	Apulia	2020-02-24		0	0	0	0				0					http://www.salute.gov.it/
Aragon	Aragon	2020-02-24	2020-06-10T19:42:35.000Z		0			0			0					https://www.mscbs.gob.es/
Asturias	Asturias	2020-02-24	2020-06-10T19:42:35.000Z		0			0			0					https://www.mscbs.gob.es/
Balearic_Islands	Balearic Islands	2020-02-24	2020-06-10T19:42:35.000Z		1			0			0					https://www.mscbs.gob.es/
Basilicata	Basilicata	2020-02-24		0	0	0	0				0					http://www.salute.gov.it/
Basque_Country_(autonomous_community)	Basque Country (autonomous community)	2020-02-24	2020-06-10T19:42:35.000Z		0			0			0					https://www.mscbs.gob.es/
Calabria	Calabria	2020-02-24		0	0	0	1				0					http://www.salute.gov.it/
Campania	Campania	2020-02-24		0	0	0	10				0					http://www.salute.gov.it/
Canary_Islands	Canary Islands	2020-02-24	2020-06-10T19:42:35.000Z		2			1			1					https://www.mscbs.gob.es/
Cantabria	Cantabria	2020-02-24	2020-06-10T19:42:35.000Z		0			0			0					https://www.mscbs.gob.es/
Castile_and_Le%C3%B3n	Castile and León	2020-02-24	2020-06-10T19:42:35.000Z		0			0			0					https://www.mscbs.gob.es/
Castilla%E2%80%93La_Mancha	Castilla–La Mancha	2020-02-24	2020-06-10T19:42:35.000Z		0			0			0					https://www.mscbs.gob.es/
Catalonia	Catalonia	2020-02-24	2020-06-10T19:42:35.000Z		0			0			0					https://www.mscbs.gob.es/
Ceuta	Ceuta	2020-02-24	2020-06-10T19:42:35.000Z		0			0			0					https://www.mscbs.gob.es/
Community_of_Madrid	Community of Madrid	2020-02-24	2020-06-10T19:42:35.000Z		1			0			0					https://www.mscbs.gob.es/
Emilia-Romagna	Emilia-Romagna	2020-02-24		0	18	0	148				18					http://www.salute.gov.it/
England	England	2020-02-24			25			1			-3			0.83		https://www.gov.uk/
Extremadura	Extremadura	2020-02-24	2020-06-10T19:42:35.000Z		0			0			0					https://www.mscbs.gob.es/
France	France	2020-02-24		1	12	11		0		1	0	0	0.0	0.0		https://www.santepubliquefrance.fr/
Friuli_Venezia_Giulia	Friuli Venezia Giulia	2020-02-24		0	0	0	58				0					http://www.salute.gov.it/
Galicia_(Spain)	Galicia (Spain)	2020-02-24	2020-06-10T19:42:35.000Z		0			0			0					https://www.mscbs.gob.es/
Italy	Italy	2020-02-24		7	229	1	4324	105		0	-2	-2	1.0	32.29		http://www.salute.gov.it/
Lazio	Lazio	2020-02-24		0	3	1	124				2					http://www.salute.gov.it/
Liguria	Liguria	2020-02-24		0	0	0	1				0					http://www.salute.gov.it/
Lombardy	Lombardy	2020-02-24		6	172	0	1463				166					http://www.salute.gov.it/
Marche	Marche	2020-02-24		0	0	0	16				0					http://www.salute.gov.it/
Melilla	Melilla	2020-02-24	2020-06-10T19:42:35.000Z		0			0			0					https://www.mscbs.gob.es/
Molise	Molise	2020-02-24		0	0	0	0				0					http://www.salute.gov.it/
Navarre	Navarre	2020-02-24	2020-06-10T19:42:35.000Z		0			0			0					https://www.mscbs.gob.es/
Piedmont	Piedmont	2020-02-24		0	3	0	141				3					http://www.salute.gov.it/
Region_of_Murcia	Region of Murcia	2020-02-24	2020-06-10T19:42:35.000Z		0			0			0					https://www.mscbs.gob.es/
Sardinia	Sardinia	2020-02-24		0	0	0	1				0					http://www.salute.gov.it/
Sicily	Sicily	2020-02-24		0	0	0	5				0					http://www.salute.gov.it/
South_East_England	South East England	2020-02-24			9			1			0					https://www.gov.uk/
South_Tyrol	South Tyrol	2020-02-24		0	0	0	1				0					http://www.salute.gov.it/
Spain	Spain	2020-02-24	2020-06-10T19:42:35.000Z	0	4			1		0	1	0	0.0	0.29		https://www.mscbs.gob.es/
Trentino	Trentino	2020-02-24		0	0	0	3				0					http://www.salute.gov.it/
Tuscany	Tuscany	2020-02-24		0	0	0	140				0					http://www.salute.gov.it/
Umbria	Umbria	2020-02-24		0	0	0	0				0					http://www.salute.gov.it/
Valencian_Community	Valencian Community	2020-02-24	2020-06-10T19:42:35.000Z		0			0			0					https://www.mscbs.gob.es/
Veneto	Veneto	2020-02-24		1	33	0	2200				32					http://www.salute.gov.it/
West_Sussex	West Sussex	2020-02-24			1			1								https://www.gov.uk/
