regionId	label	referenceDate	lastUpdatedDate	totalDeaths	totalConfirmedCases	totalRecoveredCases	totalTestedCases	numActiveCases	numDeaths	numRecoveredCases	numTests	dataSource
c637be1cf835c710a89f5c030c9252cb	Andaman and Nicobar Islands	2020-04-25	2020-04-24T11:30:00+0000	0	22	11						https://www.mohfw.gov.in/
037960597072204e989f671623e600aa	Andhra Pradesh	2020-04-25	2020-04-24T11:30:00+0000	29	955	145						https://www.mohfw.gov.in/
bcff8ce79caeec8c56ee42633d4c9d77	Antofagasta	2020-04-25	2020-04-24T04:00:00+0000	2	366							https://www.minsal.cl/
00d864f2bc91e07edb48b7e3b4b2446e	Arica y Parinacota Region	2020-04-25	2020-04-24T04:00:00+0000	3	239							https://www.minsal.cl/
3e975ed48bcad18f8aaf761abb67d48b	Arunachal Pradesh	2020-04-25	2020-04-24T11:30:00+0000	0	1	1						https://www.mohfw.gov.in/
44e0325f3e4f2272ae44a4a675b527e6	Assam	2020-04-25	2020-04-24T11:30:00+0000	1	36	19						https://www.mohfw.gov.in/
1a1beb0199da97847b4c5aa96298790f	Atacama Region	2020-04-25	2020-04-24T04:00:00+0000	0	21							https://www.minsal.cl/
4442e4af0916f53a07fb8ca9a49b98ed	Australia	2020-04-25	2020-04-24T15:00:00	78	6675	5136	482000					https://www.health.gov.au/
7188ee817ff0ec57b9ed4987e2b9341d	Australian Capital Territory	2020-04-25	2020-04-24T05:00:00+0000		104							https://www.health.gov.au/
6ddecd8ccd9f648d19dc02c7a566cb4f	Bahrain	2020-04-25	2020-04-24T17:00:00	8	2506	1113	105365					https://www.moh.gov.bh/COVID19
859a18bad84184d704fd68a8faeeea1a	Bay of Plenty	2020-04-25	2020-04-24T02:20:00+0000		47	33		14				https://www.health.govt.nz/
27559de2125101ccb786807bceb46aa1	Bihar	2020-04-25	2020-04-24T11:30:00+0000	2	176	46						https://www.mohfw.gov.in/
06c7a3c3a3344a62864b951aec4df830	Cambodia	2020-04-25	2020-04-24T00:00:00		122	110						http://www.cdcmoh.gov.kh/
33d760dd178036b714669c2766cadf1b	Chandigarh	2020-04-25	2020-04-24T11:30:00+0000	0	27	14						https://www.mohfw.gov.in/
98a0215e7384c0045229405845a76921	Chhattisgarh	2020-04-25	2020-04-24T11:30:00+0000	0	36	28						https://www.mohfw.gov.in/
2e6507f70a9cc26fb50f5fd82a83c7ef	Chile	2020-04-25	2020-04-23T21:00:00	174	12306	6327						https://www.minsal.cl/
78aed43a7109dd496adfc5c8345cc336	Coquimbo Region	2020-04-25	2020-04-24T04:00:00+0000	0	72							https://www.minsal.cl/
9baaebe1759ba1a6365a2b0539081516	Delhi	2020-04-25	2020-04-24T11:30:00+0000	50	2376	808						https://www.mohfw.gov.in/
5cdd21c97f86686cc505e02fd32a7523	Earth	2020-04-25	2020-04-24T21:35:18.851	189344	2742083							https://github.com/yahoo/covid-19-data/blob/master/data-sources.md
904848bc2d46b8dcd2e90e5a025f726e	Goa	2020-04-25	2020-04-24T11:30:00+0000	0	7	7						https://www.mohfw.gov.in/
9ac24d086d7592786374e1995fb205e6	Gujarat	2020-04-25	2020-04-24T11:30:00+0000	112	2624	258						https://www.mohfw.gov.in/
1b86e8daccc894df32394681ebe753e4	Haryana	2020-04-25	2020-04-24T11:30:00+0000	3	272	156						https://www.mohfw.gov.in/
a42109305349eb91ddbdda04373721e4	Himachal Pradesh	2020-04-25	2020-04-24T11:30:00+0000	1	40	18						https://www.mohfw.gov.in/
7d31e0da1ab99fe8b08a22118e2f402b	India	2020-04-25	2020-04-24T11:30:00+0000	723	23452	4814						https://www.mohfw.gov.in/
475ec2baed249713cd6edc6274cb7875	Jammu and Kashmir (state)	2020-04-25	2020-04-24T11:30:00+0000	5	427	92						https://www.mohfw.gov.in/
5308f89b85b77bdd39a446f01674e874	Jharkhand	2020-04-25	2020-04-24T11:30:00+0000	3	55	8						https://www.mohfw.gov.in/
