regionId	label	referenceDate	lastUpdatedDate	totalDeaths	totalConfirmedCases	totalRecoveredCases	totalTestedCases	numPositiveTests	numDeaths	numRecoveredCases	diffNumPositiveTests	diffNumDeaths	avgWeeklyDeaths	avgWeeklyConfirmedCases	avgWeeklyRecoveredCases	dataSource
Abrantes	Abrantes	2020-07-20	2020-07-19T23:00:00.000Z		29			0			0			0.0		https://covid19.min-saude.pt/
Abruzzo	Abruzzo	2020-07-20		468	3336	2751	119504				1		0.29	1.14	4.57	http://www.salute.gov.it/
Acre_(state)	Acre (state)	2020-07-20	2020-07-19T22:00:00.000Z	460	17295								4.29	147.86		https://covid.saude.gov.br/
Adygea	Adygea	2020-07-20	2020-07-19T07:45:00.000Z	16	2364	1901		20			0		0.29	15.14	23.0	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Agder	Agder	2020-07-20	2020-07-19T11:00:00.000Z		351									0.29		https://www.fhi.no/
Akmola_Region	Akmola Region	2020-07-20		24	1949	1363							0.0	37.29	41.14	https://www.coronavirus2020.kz/
Aktobe_Region	Aktobe Region	2020-07-20		9	2723	1171							0.0	77.86	50.0	https://www.coronavirus2020.kz/
Alagoas	Alagoas	2020-07-20	2020-07-19T22:00:00.000Z	1397	50078								14.29	540.29		https://covid.saude.gov.br/
Albergaria-a-Velha	Albergaria-a-Velha	2020-07-20	2020-07-19T23:00:00.000Z		91			0			0			-0.57		https://covid19.min-saude.pt/
Albufeira	Albufeira	2020-07-20	2020-07-19T23:00:00.000Z		127			0			0			0.29		https://covid19.min-saude.pt/
Alcanena	Alcanena	2020-07-20	2020-07-19T23:00:00.000Z		17			0			0			0.14		https://covid19.min-saude.pt/
Alcochete	Alcochete	2020-07-20	2020-07-19T23:00:00.000Z		32			0			0			0.57		https://covid19.min-saude.pt/
Alenquer,_Portugal	Alenquer, Portugal	2020-07-20	2020-07-19T23:00:00.000Z		194			0			0			5.0		https://covid19.min-saude.pt/
Almada	Almada	2020-07-20	2020-07-19T23:00:00.000Z		714			0			0			12.86		https://covid19.min-saude.pt/
Almaty	Almaty	2020-07-20		54	8922	5288							0.0	190.14	125.29	https://www.coronavirus2020.kz/
Almaty_Region	Almaty Region	2020-07-20		4	3582	2429							0.0	64.57	52.29	https://www.coronavirus2020.kz/
Almeida,_Portugal	Almeida, Portugal	2020-07-20	2020-07-19T23:00:00.000Z		6			0			0			0.0		https://covid19.min-saude.pt/
Almeirim	Almeirim	2020-07-20	2020-07-19T23:00:00.000Z		35			0			0			0.29		https://covid19.min-saude.pt/
Altai_Krai	Altai Krai	2020-07-20	2020-07-19T07:45:00.000Z	56	7382	4712		198			0		0.71	189.43	120.57	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Altai_Republic	Altai Republic	2020-07-20	2020-07-19T07:45:00.000Z	1	1239	764		22			0		0.0	20.0	28.14	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Amadora	Amadora	2020-07-20	2020-07-19T23:00:00.000Z		1989			0			0			29.86		https://covid19.min-saude.pt/
Amarante,_Portugal	Amarante, Portugal	2020-07-20	2020-07-19T23:00:00.000Z		102			0			0			0.0		https://covid19.min-saude.pt/
Amares	Amares	2020-07-20	2020-07-19T23:00:00.000Z		82			0			0			-0.14		https://covid19.min-saude.pt/
Amazonas_(Brazilian_state)	Amazonas (Brazilian state)	2020-07-20	2020-07-19T22:00:00.000Z	3149	90913								14.43	928.71		https://covid.saude.gov.br/
Amstetten_District	Amstetten District	2020-07-20	2020-07-19T20:00:00.000Z		309									0.14		https://info.gesundheitsministerium.at/
Amur_Oblast	Amur Oblast	2020-07-20	2020-07-19T07:45:00.000Z	33	2393	1456		39			0		1.43	35.71	43.86	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Anadia,_Portugal	Anadia, Portugal	2020-07-20	2020-07-19T23:00:00.000Z		58			0			0			0.43		https://covid19.min-saude.pt/
Andaman_and_Nicobar_Islands	Andaman and Nicobar Islands	2020-07-20	2020-07-19T08:00:00.000Z	0	198	145							0.0	5.0	7.43	https://www.mohfw.gov.in/
Andhra_Pradesh	Andhra Pradesh	2020-07-20	2020-07-19T08:00:00.000Z	586	44609	21763							36.86	2205.86	907.29	https://www.mohfw.gov.in/
