regionId	label	referenceDate	lastUpdatedDate	totalDeaths	totalConfirmedCases	totalRecoveredCases	totalTestedCases	numPositiveTests	numDeaths	numRecoveredCases	diffNumPositiveTests	diffNumDeaths	avgWeeklyDeaths	avgWeeklyConfirmedCases	avgWeeklyRecoveredCases	dataSource
Abrantes	Abrantes	2021-01-31	2021-01-31T00:00:00.000Z		871			0			0			35.43		https://covid19.min-saude.pt/
Abruzzo	Abruzzo	2021-01-31		1462	42444	30865	675378				385		9.86	222.14	289.0	http://www.salute.gov.it/
Acre_(state)	Acre (state)	2021-01-31	2021-01-30T22:00:00.000Z	864	48347								2.0	274.0		https://covid.saude.gov.br/
Adygea	Adygea	2021-01-31	2021-01-30T08:00:00.000Z	117	12990	11118		49			0		0.57	50.29	58.29	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Agder	Agder	2021-01-31	2021-01-30T12:00:00.000Z		1476									7.71		https://www.fhi.no/
Akmola_Region	Akmola Region	2021-01-31		101	10767	8310							0.25	213.13	79.25	https://www.coronavirus2020.kz/
Aktobe_Region	Aktobe Region	2021-01-31		50	3950	3769							0.25	8.88	7.13	https://www.coronavirus2020.kz/
Alagoas	Alagoas	2021-01-31	2021-01-30T22:00:00.000Z	2737	117287								7.71	445.43		https://covid.saude.gov.br/
Albergaria-a-Velha	Albergaria-a-Velha	2021-01-31	2021-01-31T00:00:00.000Z		1019			0			0			26.0		https://covid19.min-saude.pt/
Albufeira	Albufeira	2021-01-31	2021-01-31T00:00:00.000Z		1457			0			0			50.57		https://covid19.min-saude.pt/
Alcanena	Alcanena	2021-01-31	2021-01-31T00:00:00.000Z		1569			0			0			81.43		https://covid19.min-saude.pt/
Alcochete	Alcochete	2021-01-31	2021-01-31T00:00:00.000Z		1097			0			0			-18.71		https://covid19.min-saude.pt/
Alenquer,_Portugal	Alenquer, Portugal	2021-01-31	2021-01-31T00:00:00.000Z		1033			0			0			45.71		https://covid19.min-saude.pt/
Almada	Almada	2021-01-31	2021-01-31T00:00:00.000Z		1291			0			0			44.0		https://covid19.min-saude.pt/
Almaty	Almaty	2021-01-31		429	22012	20282							1.75	125.25	150.25	https://www.coronavirus2020.kz/
Almaty_Region	Almaty Region	2021-01-31		108	9225	6979							1.5	75.63	82.38	https://www.coronavirus2020.kz/
Almeida,_Portugal	Almeida, Portugal	2021-01-31	2021-01-31T00:00:00.000Z		1166			0			0			63.71		https://covid19.min-saude.pt/
Almeirim	Almeirim	2021-01-31	2021-01-31T00:00:00.000Z		1783			0			0			91.86		https://covid19.min-saude.pt/
Altai_Krai	Altai Krai	2021-01-31	2021-01-30T08:00:00.000Z	1177	38823	34975		183			0		10.14	187.71	135.57	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Altai_Republic	Altai Republic	2021-01-31	2021-01-30T08:00:00.000Z	134	15395	14252		55			0		2.43	47.86	39.57	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Amadora	Amadora	2021-01-31	2021-01-31T00:00:00.000Z		1326			0			0			54.86		https://covid19.min-saude.pt/
Amarante,_Portugal	Amarante, Portugal	2021-01-31	2021-01-31T00:00:00.000Z		1096			0			0			15.57		https://covid19.min-saude.pt/
Amares	Amares	2021-01-31	2021-01-31T00:00:00.000Z		1125			0			0			27.57		https://covid19.min-saude.pt/
Amazonas_(Brazilian_state)	Amazonas (Brazilian state)	2021-01-31	2021-01-30T22:00:00.000Z	8018	265994								124.57	2325.86		https://covid.saude.gov.br/
Amstetten_District	Amstetten District	2021-01-31	2021-01-30T21:00:00.000Z	114	7044	6663							0.14	18.14	22.14	https://info.gesundheitsministerium.at/
Amur_Oblast	Amur Oblast	2021-01-31	2021-01-30T08:00:00.000Z	140	19396	17696		90			0		1.43	99.71	126.71	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Anadia,_Portugal	Anadia, Portugal	2021-01-31	2021-01-31T00:00:00.000Z		1471			0			0			13.57		https://covid19.min-saude.pt/
Aosta_Valley	Aosta Valley	2021-01-31		404	7781	7129	69831				1		0.43	6.29	13.71	http://www.salute.gov.it/
Apulia	Apulia	2021-01-31		3179	121838	66502	1304490				871		25.57	818.29	1208.86	http://www.salute.gov.it/
Arcos_de_Valdevez	Arcos de Valdevez	2021-01-31	2021-01-31T00:00:00.000Z		2251			0			0			140.71		https://covid19.min-saude.pt/
Arganil	Arganil	2021-01-31	2021-01-31T00:00:00.000Z		1598			0			0			5.14		https://covid19.min-saude.pt/
Arkhangelsk_Oblast	Arkhangelsk Oblast	2021-01-31	2021-01-30T08:00:00.000Z	468	50980	43474		238			0		1.43	246.14	311.86	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Arouca,_Portugal	Arouca, Portugal	2021-01-31	2021-01-31T00:00:00.000Z		1404			0			0			36.43		https://covid19.min-saude.pt/
Arruda_dos_Vinhos	Arruda dos Vinhos	2021-01-31	2021-01-31T00:00:00.000Z		1681			0			0			87.14		https://covid19.min-saude.pt/
Astrakhan_Oblast	Astrakhan Oblast	2021-01-31	2021-01-30T08:00:00.000Z	482	24293	15159		170			0		2.14	174.43	87.43	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Atyrau_Region	Atyrau Region	2021-01-31		127	16014	14742							0.25	76.63	84.25	https://www.coronavirus2020.kz/
Austria	Austria	2021-01-31	2021-01-30T21:00:00.000Z	7636	409892	380330	9160616						39.14	1194.0	1351.43	https://info.gesundheitsministerium.at/
Auvergne-Rhône-Alpes	Auvergne-Rhône-Alpes	2021-01-31		8018		32743							44.29		144.86	https://www.santepubliquefrance.fr/
Aveiro,_Portugal	Aveiro, Portugal	2021-01-31	2021-01-31T00:00:00.000Z		1054			0			0			38.86		https://covid19.min-saude.pt/
Azambuja	Azambuja	2021-01-31	2021-01-31T00:00:00.000Z		1013			0			0			53.57		https://covid19.min-saude.pt/
Baden_District,_Austria	Baden District, Austria	2021-01-31	2021-01-30T21:00:00.000Z	83	5329	4906							0.57	21.0	23.71	https://info.gesundheitsministerium.at/
Bahia	Bahia	2021-01-31	2021-01-30T22:00:00.000Z	10059	585958								28.86	2948.29		https://covid.saude.gov.br/
Bahrain	Bahrain	2021-01-31	2021-01-31T00:00:00.000Z	372	102626	98160	2701085	655	0	212	187	0	0.71	452.86	292.57	https://www.moh.gov.bh/COVID19
Banteay_Meanchey_Province	Banteay Meanchey Province	2021-01-31	2021-01-31T07:00:00.000Z		56			0			0			0.38		http://www.cdcmoh.gov.kh/
Barcelos,_Portugal	Barcelos, Portugal	2021-01-31	2021-01-31T00:00:00.000Z		1625			0			0			44.29		https://covid19.min-saude.pt/
Barreiro,_Portugal	Barreiro, Portugal	2021-01-31	2021-01-31T00:00:00.000Z		1216			0			0			42.71		https://covid19.min-saude.pt/
Bashkortostan	Bashkortostan	2021-01-31	2021-01-30T08:00:00.000Z	184	24080	18234		168			0		1.71	167.71	128.57	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Basilicata	Basilicata	2021-01-31		325	13202	7125	210951				70		2.0	51.43	213.43	http://www.salute.gov.it/
Batalha,_Portugal	Batalha, Portugal	2021-01-31	2021-01-31T00:00:00.000Z		1178			0			0			52.0		https://covid19.min-saude.pt/
Battambang_Province	Battambang Province	2021-01-31	2021-01-31T07:00:00.000Z		26			0			0			0.0		http://www.cdcmoh.gov.kh/
Beja,_Portugal	Beja, Portugal	2021-01-31	2021-01-31T00:00:00.000Z		1680			0			0			23.43		https://covid19.min-saude.pt/
Belarus	Belarus	2021-01-31	2021-01-29T03:00:00.000Z	1698	244718	231399	4435121						8.43	1265.57	1498.14	http://stopcovid.belta.by/
Belgorod_Oblast	Belgorod Oblast	2021-01-31	2021-01-30T08:00:00.000Z	367	27279	24764		171			0		5.29	174.43	137.29	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Benavente,_Portugal	Benavente, Portugal	2021-01-31	2021-01-31T00:00:00.000Z		1644			0			0			69.14		https://covid19.min-saude.pt/
Bludenz_District	Bludenz District	2021-01-31	2021-01-30T21:00:00.000Z	39	3203	3045							0.14	8.86	6.71	https://info.gesundheitsministerium.at/
Bombarral	Bombarral	2021-01-31	2021-01-31T00:00:00.000Z		733			0			0			34.14		https://covid19.min-saude.pt/
Bourgogne-Franche-Comté	Bourgogne-Franche-Comté	2021-01-31		3317		12118							20.14		68.29	https://www.santepubliquefrance.fr/
Braga	Braga	2021-01-31	2021-01-31T00:00:00.000Z		1194			0			0			21.57		https://covid19.min-saude.pt/
Braunau_am_Inn_District	Braunau am Inn District	2021-01-31	2021-01-30T21:00:00.000Z	62	5094	4731							0.29	18.43	30.43	https://info.gesundheitsministerium.at/
Brazil	Brazil	2021-01-31	2021-01-30T22:00:00.000Z	223945	9176975	7998246			1279			0	986.86	47485.43	49210.86	https://covid.saude.gov.br/
Brittany_(administrative_region)	Brittany (administrative region)	2021-01-31		910		3989							9.0		22.29	https://www.santepubliquefrance.fr/
