regionId	label	referenceDate	lastUpdatedDate	totalDeaths	totalConfirmedCases	totalRecoveredCases	totalTestedCases	numPositiveTests	numDeaths	numRecoveredCases	diffNumPositiveTests	diffNumDeaths	avgWeeklyDeaths	avgWeeklyConfirmedCases	avgWeeklyRecoveredCases	dataSource
Akmola_Region	Akmola Region	2020-07-12		23	1615	1053							1.29	27.86	103.29	https://www.coronavirus2020.kz/
Aktobe_Region	Aktobe Region	2020-07-12		4	2075	821							0.0	52.14	38.29	https://www.coronavirus2020.kz/
Almaty	Almaty	2020-07-12		30	7118	3960							0.57	147.14	239.86	https://www.coronavirus2020.kz/
Almaty_Region	Almaty Region	2020-07-12		4	3048	1562							0.43	68.43	136.0	https://www.coronavirus2020.kz/
Andaman_and_Nicobar_Islands	Andaman and Nicobar Islands	2020-07-12	2020-07-11T08:00:00.000Z	0	156	92							0.0	5.29	3.71	https://www.mohfw.gov.in/
Andhra_Pradesh	Andhra Pradesh	2020-07-12	2020-07-11T08:00:00.000Z	292	25422	13194							10.57	1103.29	740.86	https://www.mohfw.gov.in/
Arunachal_Pradesh	Arunachal Pradesh	2020-07-12	2020-07-11T08:00:00.000Z	2	335	120							0.14	10.86	6.29	https://www.mohfw.gov.in/
Assam	Assam	2020-07-12	2020-07-11T08:00:00.000Z	27	14600	9147							1.86	561.71	355.71	https://www.mohfw.gov.in/
Atyrau_Region	Atyrau Region	2020-07-12		13	7393	4729							1.0	275.29	464.71	https://www.coronavirus2020.kz/
Auckland_Region	Auckland Region	2020-07-12	2020-07-11T01:00:00.000Z		178	178								0.0	0.0	https://www.health.govt.nz/
B%E1%BA%AFc_Giang_Province	Bắc Giang Province	2020-07-12		0	4	4							0.0	0.0	0.0	https://ncov.moh.gov.vn/
B%E1%BA%A1c_Li%C3%AAu_Province	Bạc Liêu Province	2020-07-12		0	21	21							0.0	0.0	0.0	https://ncov.moh.gov.vn/
B%E1%BA%AFc_Ninh_Province	Bắc Ninh Province	2020-07-12		0	1	1							0.0	0.0	0.0	https://ncov.moh.gov.vn/
Banteay_Meanchey_Province	Banteay Meanchey Province	2020-07-12	2020-07-12T07:00:00.000Z		5			0			0			0.0		http://www.cdcmoh.gov.kh/
Battambang_Province	Battambang Province	2020-07-12	2020-07-12T07:00:00.000Z		8			0			0			0.0		http://www.cdcmoh.gov.kh/
Bay_of_Plenty	Bay of Plenty	2020-07-12	2020-07-11T01:00:00.000Z		47	47								0.0	0.0	https://www.health.govt.nz/
B%E1%BA%BFn_Tre_Province	Bến Tre Province	2020-07-12		0	1	1							0.0	0.0	0.0	https://ncov.moh.gov.vn/
Bihar	Bihar	2020-07-12	2020-07-11T08:00:00.000Z	119	14575	10109							4.29	410.71	203.29	https://www.mohfw.gov.in/
B%C3%ACnh_Thu%E1%BA%ADn_Province	Bình Thuận Province	2020-07-12		0	9	9							0.0	0.0	0.0	https://ncov.moh.gov.vn/
Cambodia	Cambodia	2020-07-12	2020-07-12T07:00:00.000Z	0	141	133		0	0	0	0	0	0.0	0.0	0.29	http://www.cdcmoh.gov.kh/
C%E1%BA%A7n_Th%C6%A1	Cần Thơ	2020-07-12		0	2	2							0.0	0.0	0.0	https://ncov.moh.gov.vn/
Chandigarh	Chandigarh	2020-07-12	2020-07-11T08:00:00.000Z	7	539	408							0.14	11.29	1.86	https://www.mohfw.gov.in/
Chhattisgarh	Chhattisgarh	2020-07-12	2020-07-11T08:00:00.000Z	17	3767	3028							0.43	86.57	68.43	https://www.mohfw.gov.in/
Da_Nang	Da Nang	2020-07-12		0	6	6							0.0	0.0	0.0	https://ncov.moh.gov.vn/
Delhi	Delhi	2020-07-12	2020-07-11T08:00:00.000Z	3300	109140	84694							42.29	1705.71	2348.29	https://www.mohfw.gov.in/
%C4%90%E1%BB%93ng_Nai_Province	Đồng Nai Province	2020-07-12		0	1	1							0.0	0.0	0.0	https://ncov.moh.gov.vn/
%C4%90%E1%BB%93ng_Th%C3%A1p_Province	Đồng Tháp Province	2020-07-12		0	6	6							0.0	0.0	0.14	https://ncov.moh.gov.vn/
Earth	Earth	2020-07-12	2020-07-11T21:09:24.092Z	557960	12508568								3960.86	165568.29	109045.14	https://github.com/yahoo/covid-19-data/blob/master/data-sources.md
