regionId	label	referenceDate	lastUpdatedDate	totalDeaths	totalConfirmedCases	totalRecoveredCases	totalTestedCases	numPositiveTests	numDeaths	numRecoveredCases	diffNumPositiveTests	diffNumDeaths	avgWeeklyDeaths	avgWeeklyConfirmedCases	avgWeeklyRecoveredCases	dataSource
Akmola_Region	Akmola Region	2020-06-24		12	349	171							0.86	17.43	0.14	https://www.coronavirus2020.kz/
Aktobe_Region	Aktobe Region	2020-06-24		1	653	357							0.0	15.29	9.14	https://www.coronavirus2020.kz/
Almaty	Almaty	2020-06-24		23	3429	2177							1.43	35.29	7.0	https://www.coronavirus2020.kz/
Almaty_Region	Almaty Region	2020-06-24			597	521								9.0	16.29	https://www.coronavirus2020.kz/
Andaman_and_Nicobar_Islands	Andaman and Nicobar Islands	2020-06-24	2020-06-23T08:00:00.000Z	0	48	37							0.0	0.57	0.57	https://www.mohfw.gov.in/
Andhra_Pradesh	Andhra Pradesh	2020-06-24	2020-06-23T08:00:00.000Z	111	9372	4495							3.29	361.57	140.86	https://www.mohfw.gov.in/
Arunachal_Pradesh	Arunachal Pradesh	2020-06-24	2020-06-23T08:00:00.000Z	0	139	21							0.0	6.29	2.0	https://www.mohfw.gov.in/
Assam	Assam	2020-06-24	2020-06-23T08:00:00.000Z	9	5586	3521							0.14	181.0	193.57	https://www.mohfw.gov.in/
Atyrau_Region	Atyrau Region	2020-06-24		3	1475	1141							0.0	19.14	20.14	https://www.coronavirus2020.kz/
Auckland_Region	Auckland Region	2020-06-24	2020-06-23T01:00:00.000Z		180	178								0.29	0.0	https://www.health.govt.nz/
B%E1%BA%AFc_Giang_Province	Bắc Giang Province	2020-06-24		0	4	4							0.0	0.0	0.0	https://ncov.moh.gov.vn/
B%E1%BA%A1c_Li%C3%AAu_Province	Bạc Liêu Province	2020-06-24		0	21	21							0.0	0.0	0.0	https://ncov.moh.gov.vn/
B%E1%BA%AFc_Ninh_Province	Bắc Ninh Province	2020-06-24		0	1	1							0.0	0.0	0.0	https://ncov.moh.gov.vn/
Banteay_Meanchey_Province	Banteay Meanchey Province	2020-06-24	2020-06-24T07:00:00.000Z		5			0			0			0.0		http://www.cdcmoh.gov.kh/
Battambang_Province	Battambang Province	2020-06-24	2020-06-24T07:00:00.000Z		8			0			0			0.0		http://www.cdcmoh.gov.kh/
Bay_of_Plenty	Bay of Plenty	2020-06-24	2020-06-23T01:00:00.000Z		47	47								0.0	0.0	https://www.health.govt.nz/
B%E1%BA%BFn_Tre_Province	Bến Tre Province	2020-06-24		0	1	1							0.0	0.0	0.0	https://ncov.moh.gov.vn/
Bihar	Bihar	2020-06-24	2020-06-23T08:00:00.000Z	55	7825	5781							2.0	149.57	162.43	https://www.mohfw.gov.in/
B%C3%ACnh_Thu%E1%BA%ADn_Province	Bình Thuận Province	2020-06-24		0	9	9							0.0	0.0	0.0	https://ncov.moh.gov.vn/
Cambodia	Cambodia	2020-06-24	2020-06-24T07:00:00.000Z	0	130	127		0	0	0	-1	0	0.0	0.29	0.14	http://www.cdcmoh.gov.kh/
C%E1%BA%A7n_Th%C6%A1	Cần Thơ	2020-06-24		0	2	2							0.0	0.0	0.0	https://ncov.moh.gov.vn/
Chandigarh	Chandigarh	2020-06-24	2020-06-23T08:00:00.000Z	6	411	322							0.0	7.57	2.86	https://www.mohfw.gov.in/
Chhattisgarh	Chhattisgarh	2020-06-24	2020-06-23T08:00:00.000Z	12	2303	1513							0.43	74.57	68.14	https://www.mohfw.gov.in/
Da_Nang	Da Nang	2020-06-24		0	6	6							0.0	0.0	0.0	https://ncov.moh.gov.vn/
Delhi	Delhi	2020-06-24	2020-06-23T08:00:00.000Z	2233	62655	36602							56.57	2566.71	2871.71	https://www.mohfw.gov.in/
%C4%90%E1%BB%93ng_Nai_Province	Đồng Nai Province	2020-06-24		0	1	1							0.0	0.0	0.0	https://ncov.moh.gov.vn/
%C4%90%E1%BB%93ng_Th%C3%A1p_Province	Đồng Tháp Province	2020-06-24		0	6	5							0.0	0.0	0.0	https://ncov.moh.gov.vn/
Earth	Earth	2020-06-24	2020-06-23T22:12:10.897Z	473020	9099117								3663.71	120147.43	78973.0	https://github.com/yahoo/covid-19-data/blob/master/data-sources.md
East_Kazakhstan_Region	East Kazakhstan Region	2020-06-24		1	460	169							0.0	26.14	4.57	https://www.coronavirus2020.kz/
Goa	Goa	2020-06-24	2020-06-23T08:00:00.000Z	1	864	152							0.14	33.57	9.57	https://www.mohfw.gov.in/
Gujarat	Gujarat	2020-06-24	2020-06-23T08:00:00.000Z	1684	27825	19909							21.57	464.0	403.86	https://www.mohfw.gov.in/
H%C3%A0_Giang_Province	Hà Giang Province	2020-06-24		0	1	1							0.0	0.0	0.0	https://ncov.moh.gov.vn/
H%C3%A0_Nam_Province	Hà Nam Province	2020-06-24		0	4	4							0.0	0.0	0.0	https://ncov.moh.gov.vn/
H%C3%A0_T%C4%A9nh_Province	Hà Tĩnh Province	2020-06-24		0	4	4							0.0	0.0	0.0	https://ncov.moh.gov.vn/
H%E1%BA%A3i_D%C6%B0%C6%A1ng_Province	Hải Dương Province	2020-06-24		0	4	4							0.0	0.0	0.14	https://ncov.moh.gov.vn/
Hanoi	Hanoi	2020-06-24		0	121	114							0.0	1.0	0.0	https://ncov.moh.gov.vn/
Haryana	Haryana	2020-06-24	2020-06-23T08:00:00.000Z	169	11025	5916							7.29	393.29	309.71	https://www.mohfw.gov.in/
Hawke%27s_Bay_Region	Hawke's Bay Region	2020-06-24	2020-06-23T01:00:00.000Z		44	44								0.0	0.0	https://www.health.govt.nz/
Himachal_Pradesh	Himachal Pradesh	2020-06-24	2020-06-23T08:00:00.000Z	8	727	437							0.0	23.86	9.29	https://www.mohfw.gov.in/
Ho_Chi_Minh_City	Ho Chi Minh City	2020-06-24		0	61	59							0.0	0.0	0.29	https://ncov.moh.gov.vn/
H%C6%B0ng_Y%C3%AAn_Province	Hưng Yên Province	2020-06-24		0	1	1							0.0	0.0	0.0	https://ncov.moh.gov.vn/
India	India	2020-06-24	2020-06-23T08:00:00.000Z	14011	440215	248190							301.14	12307.14	8750.71	https://www.mohfw.gov.in/
Jambyl_Region	Jambyl Region	2020-06-24		1	616	402							0.0	15.29	10.29	https://www.coronavirus2020.kz/
Jharkhand	Jharkhand	2020-06-24	2020-06-23T08:00:00.000Z	11	2137	1469							0.29	42.57	49.71	https://www.mohfw.gov.in/
Kampong_Cham_Province	Kampong Cham Province	2020-06-24	2020-06-24T07:00:00.000Z		16			0			0			0.0		http://www.cdcmoh.gov.kh/
Kampong_Chhnang_Province	Kampong Chhnang Province	2020-06-24	2020-06-24T07:00:00.000Z		3			0			0			0.0		http://www.cdcmoh.gov.kh/
Kampot_Province	Kampot Province	2020-06-24	2020-06-24T07:00:00.000Z		2			0			0			0.0		http://www.cdcmoh.gov.kh/
Kandal_Province	Kandal Province	2020-06-24	2020-06-24T07:00:00.000Z		2			0			0			0.0		http://www.cdcmoh.gov.kh/
Karaganda_Region	Karaganda Region	2020-06-24		10	1950	951							0.14	46.57	30.71	https://www.coronavirus2020.kz/
Karnataka	Karnataka	2020-06-24	2020-06-23T08:00:00.000Z	142	9399	5730							6.86	267.0	182.0	https://www.mohfw.gov.in/
Kazakhstan	Kazakhstan	2020-06-24		134	18231	11514							6.57	384.14	227.71	https://www.coronavirus2020.kz/
Kep_Province	Kep Province	2020-06-24	2020-06-24T07:00:00.000Z		4			0			0			0.0		http://www.cdcmoh.gov.kh/
Kerala	Kerala	2020-06-24	2020-06-23T08:00:00.000Z	21	3310	1749							0.14	98.29	73.29	https://www.mohfw.gov.in/
Kh%C3%A1nh_H%C3%B2a_Province	Khánh Hòa Province	2020-06-24		0	1	1							0.0	0.0	0.0	https://ncov.moh.gov.vn/
Koh_Kong_Province	Koh Kong Province	2020-06-24	2020-06-24T07:00:00.000Z		2			0			0			0.0		http://www.cdcmoh.gov.kh/
Kostanay_Region	Kostanay Region	2020-06-24		3	358	197							0.14	16.71	1.43	https://www.coronavirus2020.kz/
Kyzylorda_Region	Kyzylorda Region	2020-06-24			572	528								8.29	8.71	https://www.coronavirus2020.kz/
Ladakh	Ladakh	2020-06-24	2020-06-23T08:00:00.000Z	1	847	136							0.0	28.29	7.29	https://www.mohfw.gov.in/
Lai_Ch%C3%A2u_Province	Lai Châu Province	2020-06-24		0	1	1							0.0	0.0	0.0	https://ncov.moh.gov.vn/
L%C3%A0o_Cai_Province	Lào Cai Province	2020-06-24		0	2	2							0.0	0.0	0.0	https://ncov.moh.gov.vn/
Madhya_Pradesh	Madhya Pradesh	2020-06-24	2020-06-23T08:00:00.000Z	521	12078	9215							6.43	142.14	151.86	https://www.mohfw.gov.in/
Maharashtra	Maharashtra	2020-06-24	2020-06-23T08:00:00.000Z	6283	135796	67706							106.57	3193.0	1407.86	https://www.mohfw.gov.in/
Malaysia	Malaysia	2020-06-24	2020-06-23T09:00:00.000Z	121	8590	8186							0.0	10.71	44.71	http://www.moh.gov.my/
Mangystau_Region	Mangystau Region	2020-06-24		2	436	327							0.0	5.0	8.0	https://www.coronavirus2020.kz/
Manipur	Manipur	2020-06-24	2020-06-23T08:00:00.000Z	0	898	250							0.0	56.86	13.0	https://www.mohfw.gov.in/
Mauritius	Mauritius	2020-06-24	2020-06-21T20:00:00.000Z	10	340	326							0.0	0.43	0.14	http://www.covid19.mu/
Meghalaya	Meghalaya	2020-06-24	2020-06-23T08:00:00.000Z	1	44	37							0.0	0.0	1.71	https://www.mohfw.gov.in/
Mizoram	Mizoram	2020-06-24	2020-06-23T08:00:00.000Z	0	141	9							0.0	2.86	1.14	https://www.mohfw.gov.in/
Nagaland	Nagaland	2020-06-24	2020-06-23T08:00:00.000Z	0	280	141							0.0	14.43	7.0	https://www.mohfw.gov.in/
New_Zealand	New Zealand	2020-06-24	2020-06-23T01:00:00.000Z	22	1515	1483	348822						0.0	1.29	0.14	https://www.health.govt.nz/
Ninh_B%C3%ACnh_Province	Ninh Bình Province	2020-06-24		0	13	13							0.0	0.0	0.0	https://ncov.moh.gov.vn/
Ninh_Thu%E1%BA%ADn_Province	Ninh Thuận Province	2020-06-24		0	2	2							0.0	0.0	0.0	https://ncov.moh.gov.vn/
North_Kazakhstan_Region	North Kazakhstan Region	2020-06-24			246	59								17.29	1.14	https://www.coronavirus2020.kz/
Northland_Region	Northland Region	2020-06-24	2020-06-23T01:00:00.000Z		28	28								0.0	0.0	https://www.health.govt.nz/
Nur-Sultan	Nur-Sultan	2020-06-24		38	3407	2501							3.29	65.14	58.86	https://www.coronavirus2020.kz/
Odisha	Odisha	2020-06-24	2020-06-23T08:00:00.000Z	15	5303	3863							0.57	162.86	127.0	https://www.mohfw.gov.in/
Pavlodar_Region	Pavlodar Region	2020-06-24		13	521	266							0.0	13.86	11.14	https://www.coronavirus2020.kz/
Philippines	Philippines	2020-06-24	2020-06-22T16:00:00.000Z	1177	30682	8143	558163						10.57	557.29	227.29	http://www.doh.gov.ph/2019-nCoV
Phnom_Penh	Phnom Penh	2020-06-24	2020-06-24T07:00:00.000Z		35			0			-1			0.29		http://www.cdcmoh.gov.kh/
